role_id;full_name;login;password
3;Никифорова Анна Семеновна;94d5ous@gmail.com;uzWC67
3;Стелина Евгения Петровна;uth4iz@mail.com;2L6KZG
3;Михайлюк Анна Вячеславовна;5d4zbu@tutanota.com;rwVDh9
2;Ситдикова Елена Анатольевна;ptec8ym@yahoo.com;LdNyos
2;Ворсин Петр Евгеньевич;1qz4kw@mail.com;gynQMT
2;Старикова Елена Павловна;4np6se@mail.com;AtnDjr
1;Никифорова Весения Николаевна;yzls62@outlook.com;JlFRCZ
1;Сазонов Руслан Германович;1diph5e@tutanota.com;8ntwUp
1;Одинцов Серафим Артёмович;tjde7c@yahoo.com;YOyhfR
1;Степанов Михаил Артёмович;wpmrc3do@tutanota.com;RSbvHv
